walletAddress,projectName,projectSymbol,amountInvested,tokensReceived,purchaseTokenSymbol,tokenContractAddress,investmentType,investmentDate,transactionHash
0x8Eba954A71368b363eF20CA585cE202596f2a8a5,Socin,SCN,36,2440.677966101694,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T11:49:07.928Z,0x8c420dcf8b050e4560a6891fb542ab9501b1fdd9f67f4a4f35c0abcf28b7c5d3
0x8Eba954A71368b363eF20CA585cE202596f2a8a5,DogeTon,DOTE,100,2222222.222222222,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T11:48:06.625Z,0x1a1f610843e6a8032cc18b8711b98eca765cb294a3e99bfead940d2aa1f20b09
0x8Eba954A71368b363eF20CA585cE202596f2a8a5,PepeTon,PEPT,100,2448979.591836735,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T11:46:50.697Z,0x396e5889fb8a7db9b1a5eb26fdfa78087c62d506c5958e253a5fc9b7e9915f20
0x8Eba954A71368b363eF20CA585cE202596f2a8a5,BomeTon,BMT,100,2608695.652173913,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T11:46:05.694Z,0x7e045c62724d2ca02ea5ad224eadd3719e35fdf3e715bfbc7b58cfdb44864356
0x8Eba954A71368b363eF20CA585cE202596f2a8a5,MemeTon,MMT,100,2857142.857142857,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T11:44:59.239Z,0x6780bd09e404e3289cf437b3f0c35ac87c524c2c093d19fb4e3b7a5e6a4fa411
0x02375834C4F4170D5557a8c00B639beCC5B97166,XSnake,XSN,251,8140540.540540541,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T10:04:49.981Z,0x0ae116aeebca781823786f41fe1f015d40ef04155a4e7d6993d2e704ce694245
0x02375834C4F4170D5557a8c00B639beCC5B97166,XTom,XTM,251,10040000,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T10:02:18.984Z,0x0404a0ec67ebe55e43edf020e1ee998e970e6690947bd88b4f342cf3e3e7fe79
0x02375834C4F4170D5557a8c00B639beCC5B97166,Zupad,ZUP,251,115846.1538461538,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T10:00:15.183Z,0xba323624cd0ea10493879ada3d9e151e3476bc126a2bfbfa3025bd13a4f011cd
0x02375834C4F4170D5557a8c00B639beCC5B97166,TingWhales,TWE,251,18943.39622641509,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:58:36.212Z,0x0ee65c0b1046344c427116ad73d343dc8ce2d98568cc5aad3c02fa36a3d70252
0x02375834C4F4170D5557a8c00B639beCC5B97166,TingFi,TFI,251,16549.45054945055,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:55:23.066Z,0x8a4c45a34a884b8b3eddcca9d1902f68995263fe9bc3176e309dc2d1284e1d8c
0x02375834C4F4170D5557a8c00B639beCC5B97166,TingTrace,TTR,252,18439.0243902439,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:53:58.543Z,0x10a64aea0d4e94e29e6c66b9bd054586e73e26bef6984bf068b4f1ecdfe7dad9
0x02375834C4F4170D5557a8c00B639beCC5B97166,Web3 Job Fair,W3J,251,15446.15384615384,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:52:12.380Z,0xd905bd79206b653c671e34b960ee9a10c0e1aa089c767efa063fafec5b67d9e5
0x02375834C4F4170D5557a8c00B639beCC5B97166,Xtox,XTOX,251,19307.69230769231,USDT,0x55d398326f99059ff775485246999027b3197955,NORMAL,2024-10-08T09:50:16.003Z,0xf1a8f3f0acb9667076f70714f1b9cf1d1f4ffb793849d7292cb90809dbe30b61
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,Socin,SCN,10,677.9661016949151,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:49:00.287Z,0x4198a58faec7120b4cc8bee2937493002d20738b8d4b5aee0a20cd470e1dfb1d
0x3b96A6f6938ff03a7c2C2324f326e845759fa554,Socin,SCN,10,677.9661016949151,ZUKIPOINT,0xc15e1465882c88a80faafa43c2ea25c9110ce00f,NORMAL,2024-10-08T09:48:36.323Z,0x540b093546f62c04ee5a8e5ea43d3070d63c867002f79a801e80f8e66c3a1905
